,Article Number,Article Title,Part,Part Title
0,1,Name and territory of the Union.,PART I,THE UNION AND ITS TERRITORY  ARTICLES
1,2,Admission or establishment of new States.  [,PART I,THE UNION AND ITS TERRITORY  ARTICLES
2,2A,Sikkim to be associated with the Union. —Omitted.],PART I,THE UNION AND ITS TERRITORY  ARTICLES
3,3,"Formation of new States and alteration of areas, boundaries or  names of existing  States.",PART I,THE UNION AND ITS TERRITORY  ARTICLES
4,4,"Laws made under articles 2 and 3 to provide for the amendment of  the First and the Fourth Schedules and supplemental, incidental  and consequential matters.",PART I,THE UNION AND ITS TERRITORY  ARTICLES
5,5,Citizenship at the commencement of the Constitution.,PART II,CITIZENSHIP
6,6,Rights of citizenship of certain persons who have migrated to  India from Pakistan.,PART II,CITIZENSHIP
7,7,Rights of citizenship of certain migrants to Pakistan.,PART II,CITIZENSHIP
8,8,Rights of citizenship of certain persons of Indian origin residing     outside India.,PART II,CITIZENSHIP
9,9,Persons voluntarily acquiring citizenship of a foreign State not to  be citizens.,PART II,CITIZENSHIP
10,10,Continuance of the rights of citizenship.,PART II,CITIZENSHIP
11,11,Parliament to regulate the right of citizenship by law.,PART II,CITIZENSHIP
12,12,Definition.,PART III,FUNDAMENTAL RIGHTS  General
13,13,Laws inconsistent with or in derogation of the fundamental  rights.   Right to Equality,PART III,FUNDAMENTAL RIGHTS  General
14,14,Equality before law.,PART III,FUNDAMENTAL RIGHTS  General
15,15,"Prohibition of discrimination on grounds of religion, race, caste,  sex or place of birth.",PART III,FUNDAMENTAL RIGHTS  General
16,16,Equality of opportunity in matters of public employment.,PART III,FUNDAMENTAL RIGHTS  General
17,17,Abolition of Untouchability.,PART III,FUNDAMENTAL RIGHTS  General
18,18,Abolition of titles.   Right to Freedom,PART III,FUNDAMENTAL RIGHTS  General
19,19,"Protection of certain rights regarding freedom of speech, etc.",PART III,FUNDAMENTAL RIGHTS  General
20,20,Protection in respect of conviction for offences.,PART III,FUNDAMENTAL RIGHTS  General
21,21,Protection of life and personal liberty.,PART III,FUNDAMENTAL RIGHTS  General
22,21A,Right to education.,PART III,FUNDAMENTAL RIGHTS  General
23,22,Protection against arrest and detention in certain cases.   Right against Exploitation,PART III,FUNDAMENTAL RIGHTS  General
24,23,Prohibition of traffic in human beings and forced labour.,PART III,FUNDAMENTAL RIGHTS  General
25,24,"Prohibition of employment of children in factories, etc.   Right to  Freedom of Religion",PART III,FUNDAMENTAL RIGHTS  General
26,25,"Freedom of conscience and free profession, practice and  propagation of religion.",PART III,FUNDAMENTAL RIGHTS  General
27,26,Freedom to manage religious affairs.,PART III,FUNDAMENTAL RIGHTS  General
28,27,Freedom as to payment of taxes for promotion of any particular  religion.,PART III,FUNDAMENTAL RIGHTS  General
29,28,Freedom as to attendance at religious instruction or religious  worship in certain educational institutions.,PART III,FUNDAMENTAL RIGHTS  General
30,29,Protection of interests of minorities.,PART III,FUNDAMENTAL RIGHTS  General
31,30,Right of minorities to establish and administer educational  institutions.  [,PART III,FUNDAMENTAL RIGHTS  General
32,31,Compulsory acquisition of property . —Omitted.]   Saving of Certain Laws,PART III,FUNDAMENTAL RIGHTS  General
33,31A,"Saving of Laws providing for acquisition of estates, etc.",PART III,FUNDAMENTAL RIGHTS  General
34,31B,Validation of certain Acts and Regulations.,PART III,FUNDAMENTAL RIGHTS  General
35,31C,Saving of laws giving effect to certain directive principles.  [,PART III,FUNDAMENTAL RIGHTS  General
36,31D,Saving of laws in respect of anti-national activities. —Omitted.]   Right to Constitutional Remedies,PART III,FUNDAMENTAL RIGHTS  General
37,32,—Omitted.],PART III,FUNDAMENTAL RIGHTS  General
38,32A,Constitutional validity of State laws not to be considered in  proceedings under article,PART III,FUNDAMENTAL RIGHTS  General
39,33,"Power of Parliament to modify the rights conferred by this Part  in their application to Forces, etc.",PART III,FUNDAMENTAL RIGHTS  General
40,34,Restriction on rights conferred by this Part while martial law is  in force in any area.,PART III,FUNDAMENTAL RIGHTS  General
41,35,Legislation to give effect to the provisions of this Part.,PART III,FUNDAMENTAL RIGHTS  General
42,36,Definition.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
43,37,Application of the principles contained in this Part.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
44,38,State to secure a social order for the promotion of welfare of the  people.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
45,39,Certain principles of policy to be followed by the State.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
46,39A,Equal justice and free legal aid.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
47,40,Organisation of village panchayats.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
48,41,"Right to work, to education and to public assistance in certain  cases.",PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
49,42,Provision for just and humane conditions of work and maternity  relief.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
50,43,"Living wage, etc., for workers.",PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
51,43A,Participation of workers in management of Industries.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
52,43B,Promotion of co-operative societies.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
53,44,Uniform civil code for the citizens.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
54,45,Provision for early childhood care and educat ion to children  below the age of six years.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
55,46,"Promotion of educational and economic interests of Scheduled  Castes, Scheduled Tribes and other weaker sections.",PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
56,47,Duty of the State to raise the level of nutrition and the standard  of living and to improve public health.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
57,48,Organisation of agriculture and animal husbandry.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
58,48A,Protection and improvement of environment and safeguarding of  forests and wild life.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
59,49,Protection of monuments and places and objects of national  importance.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
60,50,Separation of judiciary from executive.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
61,51,Promotion of international peace and security.,PART IV,DIRECTIVE PRINCIPLES OF STATE POLICY
62,51A,Fundamental duties.,PART IVA,FUNDAMENTAL DUTIES
63,52,The President of India.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
64,53,Executive power of the Union.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
65,54,Election of President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
66,55,Manner of election of President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
67,56,Term of office of President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
68,57,Eligibility for re-election.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
69,58,Qualifications for election as President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
70,59,Conditions of President’s office.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
71,60,Oath or affirmation by the President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
72,61,Procedure for impeachment of the President.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
73,62,Time of holding election to fill vacancy in the office of President  and the term of office of person elected to fill casual vacancy.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
